Account,date,trades_count,total_pnl,avg_pnl,win_rate,std_pnl,rolling_pnl_7d,fear_greed_value_x,fear_greed_value_y,sent_q,sent_lag_0,sent_lag_1,sent_lag_2,sent_lag_3,sent_lag_4,sent_lag_5
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,177,0.0,0.0,0.0,0.0,0.0,76.0,76.0,3,76.0,,,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,68,0.0,0.0,0.0,0.0,0.0,90.0,90.0,3,90.0,76.0,,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,40,0.0,0.0,0.0,0.0,0.0,83.0,83.0,3,83.0,90.0,76.0,,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,12,-21227.0,-1768.9166666666667,0.0,1526.1783793454342,-5306.75,94.0,94.0,3,94.0,83.0,90.0,76.0,,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,27,1603.1,59.37407407407407,0.4444444444444444,172.31681367375162,-3924.78,79.0,79.0,3,79.0,94.0,83.0,90.0,76.0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,82,-132271.0,-1613.060975609756,0.0,2491.5845458943427,-25315.816666666666,77.0,77.0,3,77.0,79.0,94.0,83.0,90.0,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,23,0.0,0.0,0.0,0.0,-21699.27142857143,84.0,84.0,3,84.0,77.0,79.0,94.0,83.0,90.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,33,-175611.00005600002,-5321.545456242425,0.0,20673.809229281236,-46786.55715085714,72.0,72.0,2,72.0,84.0,77.0,79.0,94.0,83.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,465,71393.964098,153.53540666236557,0.04946236559139785,1050.3440755978172,-36587.41942257143,77.0,77.0,3,77.0,72.0,84.0,77.0,79.0,94.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,51,40218.599998,788.5999999607843,0.5490196078431373,2175.1372102662936,-30841.90513714286,76.0,76.0,3,76.0,77.0,72.0,84.0,77.0,79.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,10,76710.0,7671.0,0.9,12601.782053941179,-16850.90513714286,60.0,60.0,2,60.0,76.0,77.0,72.0,84.0,77.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,839,101011.685664,120.39533452205006,0.30512514898688914,1727.5898244164778,-2649.6786137142894,44.0,44.0,1,44.0,60.0,76.0,77.0,72.0,84.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,531,375620.270243,707.3828064839925,0.15630885122410546,4706.059084117009,69906.21713528571,72.0,72.0,2,72.0,44.0,60.0,76.0,77.0,72.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,210,44400.9058,211.43288476190477,0.37142857142857144,949.222968424913,76249.20367814285,54.0,54.0,1,54.0,72.0,44.0,60.0,76.0,77.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,141,30897.0887,219.12828865248227,0.9361702127659575,687.4738419495811,105750.35921471428,46.0,46.0,1,46.0,54.0,72.0,44.0,60.0,76.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,48,55086.0,1147.625,0.3333333333333333,3845.1429789897975,103420.65005785714,43.0,43.0,1,43.0,46.0,54.0,72.0,44.0,60.0
